numero;cliente;nif;fecha_factura;importe_total;vencimiento;forma_pago;estado;importe_cobrado;fecha_cobro;dias_retraso;ultimo_recordatorio;notas
26/1127;Distribuciones Hermanos Cascales S.L.;B33911082;05/07/2026;9639,52;03/09/2026;transferencia 60 días f.f.;cobrada;9639,52;09/09/2026;6;;
26/1128;Restaurante Casa Pepa (Josefa Belmonte Cano);21489302B;06/07/2026;192,99;06/07/2026;contado;cobrada;192,99;10/07/2026;4;;
26/1129;Catering Lucentum Eventos S.L.;B35541986;06/07/2026;2747,27;05/08/2026;transferencia 30 días f.f.;cobrada;2747,27;09/08/2026;4;;
26/1130;Distribuciones Hermanos Cascales S.L.;B33911082;06/07/2026;6077,62;04/09/2026;transferencia 60 días f.f.;cobrada;6077,62;05/09/2026;1;;
26/1131;Supermercados Serrano S.L.;B34029173;06/07/2026;5522,30;04/09/2026;transferencia 60 días f.f.;vencida;0,00;;10;;Amparo confirma por teléfono el 10/09 que la pagan en la remesa del 18/09.
26/1126;Ultramarinos La Font S.L.U.;B35647304;08/07/2026;192,51;08/07/2026;contado;cobrada;192,51;14/07/2026;6;;
26/1133;Cash Vega Baja S.A.;A32884553;08/07/2026;2210,50;22/08/2026;transferencia 45 días f.f.;vencida;0,00;;23;11/09/2026;
26/1134;Supermercados Alifresc S.L.;B36700235;09/07/2026;8769,38;07/09/2026;transferencia 60 días f.f.;cobrada;8769,38;09/09/2026;2;;
26/1135;Supermercados Alifresc S.L.;B36700235;09/07/2026;4312,60;07/09/2026;transferencia 60 días f.f.;vencida;0,00;;7;;
26/1136;Sabores de Levante Online S.L.;B36988020;14/07/2026;924,26;13/08/2026;transferencia 30 días f.f.;cobrada;924,26;13/08/2026;0;;
26/1137;Restaurante Casa Pepa (Josefa Belmonte Cano);21489302B;14/07/2026;268,40;14/07/2026;contado;vencida;0,00;;62;;"El repartidor no cobró; ella dice que pagó en efectivo y no hay recibo."
26/1138;Supermercados Serrano S.L.;B34029173;15/07/2026;1787,85;13/09/2026;transferencia 60 días f.f.;cobrada;1787,85;13/09/2026;0;;
26/1139;Distribuciones Hermanos Cascales S.L.;B33911082;17/07/2026;9478,56;15/09/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1140;Grupo Hostelero Mediterráneo S.L.;B37205416;20/07/2026;3163,42;19/08/2026;transferencia 30 días f.f.;vencida;0,00;;26;31/08/2026;
26/1141;Catering Lucentum Eventos S.L.;B35541986;26/07/2026;3568,78;25/08/2026;transferencia 30 días f.f.;cobrada;3568,78;25/08/2026;0;;
26/1142;Distribuciones Bernabéu e Hijos S.L.;B31304660;26/07/2026;2767,05;24/09/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1143;Cooperativa Agrícola San Isidro de Callosa S. Coop. V.;F30117295;30/07/2026;975,64;29/08/2026;transferencia 30 días f.f.;cobrada;975,64;03/09/2026;5;;
26/1144;Catering Lucentum Eventos S.L.;B35541986;03/08/2026;842,10;02/09/2026;transferencia 30 días f.f.;vencida;0,00;;12;;
26/1145;Distribuciones Hermanos Cascales S.L.;B33911082;05/08/2026;6116,35;04/10/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1146;Sabores de Levante Online S.L.;B36988020;05/08/2026;1330,69;04/09/2026;transferencia 30 días f.f.;cobrada;1330,69;06/09/2026;2;;
26/1147;Distribuciones Hermanos Cascales S.L.;B33911082;05/08/2026;8314,60;04/10/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1148;Grupo Hostelero Mediterráneo S.L.;B37205416;07/08/2026;4562,80;06/09/2026;transferencia 30 días f.f.;cobrada;4562,80;08/09/2026;2;;
26/1149;Sabores de Levante Online S.L.;B36988020;10/08/2026;1264,35;09/09/2026;transferencia 30 días f.f.;vencida;0,00;;5;;
26/1150;Cooperativa Agrícola San Isidro de Callosa S. Coop. V.;F30117295;12/08/2026;655,20;11/09/2026;transferencia 30 días f.f.;vencida;0,00;;3;;
26/1151;Grupo Hostelero Mediterráneo S.L.;B37205416;13/08/2026;2450,00;12/09/2026;transferencia 30 días f.f.;vencida;0,00;;2;;Contrato marco: 2 días laborables de cortesía tras el vencimiento.
26/1152;Cash Vega Baja S.A.;A32884553;14/08/2026;4832,94;28/09/2026;transferencia 45 días f.f.;pendiente;0,00;;0;;
26/1153;Sabores de Levante Online S.L.;B36988020;14/08/2026;980,00;13/09/2026;transferencia 30 días f.f.;vencida;0,00;;1;;"Vence en fin de semana; contabilidad del cliente paga los lunes."
26/1154;Supermercados Serrano S.L.;B34029173;17/08/2026;8633,14;16/10/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1155;Supermercados Alifresc S.L.;B36700235;23/08/2026;1866,23;22/10/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1156;Distribuciones Bernabéu e Hijos S.L.;B31304660;24/08/2026;2052,88;23/10/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1157;Distribuciones Bernabéu e Hijos S.L.;B31304660;01/09/2026;2129,98;31/10/2026;transferencia 60 días f.f.;pendiente;0,00;;0;;
26/1158;Cash Vega Baja S.A.;A32884553;02/09/2026;8898,18;17/10/2026;transferencia 45 días f.f.;pendiente;0,00;;0;;
26/1159;Grupo Hostelero Mediterráneo S.L.;B37205416;07/09/2026;8117,91;07/10/2026;transferencia 30 días f.f.;pendiente;0,00;;0;;
26/1160;Cooperativa Agrícola San Isidro de Callosa S. Coop. V.;F30117295;10/09/2026;1693,28;10/10/2026;transferencia 30 días f.f.;pendiente;0,00;;0;;
